"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"18748";"46";"0";"1";"1";"0,0000572432008367387";"8";"0,214868540344515";"0";"0,000269658413041294"
"18751";"113";"0";"0";"1";"0,0000311204305365192";"7";"0,285530753171672";"0";"0"
"18757";"38";"0";"1";"4";"0,0000898187031096733";"7";"0,286047634373994";"11090,7170573049";"0,00407822567459422"
"18763";"108";"0";"2";"2";"0,0000729716286403155";"8";"0,272936660268714";"88,7939255160642";"0,00410729380956732"
"18764";"168";"0";"1";"3";"0,000039776075172055";"7";"0,296324081020255";"5552,91694978129";"0,000650234000429914"
"18767";"1";"0";"1";"1";"0,0000443466233483738";"7";"0,290143603133159";"318,941844757355";"0,000234585940166365"
"18769";"1";"0";"1";"1";"0,000040159463188269";"7";"0,290156709108717";"0";"0,00117964380535792"
"18770";"67";"0";"2";"14";"0,000142563102455897";"7";"0,311214216930754";"17642,8924540095";"0,0241088280170664"
"18773";"16";"0";"0";"1";"0,0000311204305365192";"8";"0,273097304354504";"0";"0"
"18776";"33";"0";"0";"6";"0,0000311204305365192";"7";"0,325641025641026";"0";"0"
"18779";"11";"0";"2";"1";"0,0000449175490818227";"8";"0,260630498533724";"10,9639496102645";"0,000660600243712315"
"18788";"6";"0";"0";"4";"0,0000311204305365192";"7";"0,297324414715719";"0";"0"
"18793";"8";"0";"1";"4";"0,0000395180153584541";"7";"0,293981481481481";"0";"0,000244794250290666"
"18794";"61";"0";"0";"1";"0,0000311204305365192";"8";"0,263876521222915";"0";"0"
"18796";"28";"0";"1";"5";"0,0000374945005479113";"7";"0,300693387451378";"0";"0,000244794250290666"
"18799";"59";"0";"1";"8";"0,000100482922333436";"7";"0,294727242580003";"48,2049657083565";"0,00299195352938593"
"18802";"61";"0";"2";"1";"0,0000719433893164535";"8";"0,253223164043023";"7,17855217239272";"0,00345929144655123"
"18809";"139";"0";"1";"10";"0,0000340114018820511";"7";"0,319181402028543";"0";"0,000244794250290666"
"18810";"108";"0";"2";"4";"0,0000594649857344521";"7";"0,284127237851662";"288,428466273442";"0,00224025266427723"
"18811";"107";"0";"1";"4";"0,0000395180153584541";"7";"0,302586793737236";"0";"0,000244794250290666"
"18817";"7";"0";"0";"4";"0,0000311204305365192";"7";"0,298222073129822";"0";"0"
"18818";"18";"0";"0";"2";"0,0000311204305365192";"7";"0,290262019426986";"0";"0"
"18823";"3";"0";"1";"3";"0,0000434238702917287";"7";"0,292819499341238";"0";"0,000244794250290666"
"18827";"31";"0";"1";"4";"0,0000355405195533166";"7";"0,299066206780517";"68,742107264018";"0,000288907671360769"
"18829";"101";"0";"2";"0";"0,0000854296395607923";"0";"0";"0";"0,000802109595210691"
"18831";"106";"0";"0";"1";"0,0000311204305365192";"8";"0,240156682650098";"0";"0"
"18834";"1";"0";"1";"0";"0,0000426930112005036";"0";"0";"0";"0,00153361437336651"
"18836";"1";"0";"0";"4";"0,0000311204305365192";"7";"0,299907227797925";"0";"0"
"18837";"1";"0";"0";"1";"0,0000311204305365192";"7";"0,290143603133159";"0";"0"
"18838";"101";"0";"1";"0";"0,0000679739390002019";"0";"0";"0";"0,0015188914359307"
"18840";"208";"0";"5";"13";"0,000251283625605078";"7";"0,312582432075969";"8257,02416985135";"0,0319591902212791"
"18843";"106";"0";"1";"2";"0,0000541225221327741";"7";"0,297473648987786";"0";"0,000244794250290666"
"18844";"106";"0";"0";"4";"0,0000311204305365192";"7";"0,28527878058564";"0";"0"
"18848";"51";"0";"1";"1";"0,0000377335269424465";"7";"0,289552967999349";"74,861301388651";"0,000234585940166365"
"18855";"21";"0";"1";"0";"0,0000432904944488639";"0";"0";"0";"0,000880181152288434"
"18856";"11";"0";"1";"1";"0,0000473839341327052";"7";"0,290156709108717";"0";"0,00049389798116179"
"18858";"129";"0";"3";"10";"0,000176201706484873";"7";"0,326626240352811";"1419,90082627824";"0,0251644553720254"
"18860";"1769";"1";"58";"22";"0,0013162454321722";"7";"0,328558225508318";"68033,5624040866";"0,082418586008381"
"18863";"101";"0";"1";"2";"0,0000541225221327741";"7";"0,292121909143186";"0";"0,000244794250290666"
"18867";"113";"0";"1";"3";"0,0000730027693768543";"7";"0,291393442622951";"32,1532121566221";"0,00433802471727548"
"18868";"196";"0";"3";"3";"0,000200334823242828";"7";"0,292135754786753";"3814,32704221532";"0,0177516866641249"
"18869";"101";"0";"1";"0";"0,0000444749870584092";"0";"0";"0";"0,0003339900308331"
"18873";"11";"0";"2";"2";"0,0000875605422135756";"8";"0,26390023012397";"0";"0,000504638635521096"
"18876";"101";"0";"1";"4";"0,0000395180153584541";"8";"0,264524287733393";"0";"0,000244794250290666"
"18879";"49";"0";"3";"3";"0,000172691327449592";"7";"0,292135754786753";"90,2859279173846";"0,00117618985677453"
"18883";"90";"0";"6";"9";"0,000197416405791691";"7";"0,335725753140051";"3316,4437873521";"0,0226951386784105"
"18884";"1";"0";"0";"1";"0,0000311204305365192";"7";"0,289552967999349";"0";"0"
"18885";"8";"0";"1";"2";"0,0000861473032566934";"7";"0,267072346179851";"0";"0,00295055891498973"
"18888";"6";"0";"0";"1";"0,0000311204305365192";"7";"0,292121909143186";"0";"0"
"18898";"106";"0";"1";"2";"0,0000541225221327741";"7";"0,266886820774542";"0";"0,000244794250290666"
"18901";"8";"0";"1";"3";"0,0000434238702917287";"7";"0,304243668720055";"0";"0,000244794250290666"
"18904";"141";"0";"2";"8";"0,000101452740916666";"7";"0,309103556212503";"668,210357795974";"0,00918231368201004"
"18905";"1086";"1";"44";"20";"0,000971268745904161";"7";"0,337350540899601";"32270,816145904";"0,065195776722454"
"18914";"164";"0";"26";"15";"0,000526735068453949";"7";"0,336011342155009";"35991,6199872221";"0,0245206652533702"
"18916";"6";"0";"1";"2";"0,0000926684791369616";"7";"0,296003330557868";"115,554054694163";"0,00445827372887697"
"18923";"31";"0";"1";"0";"0,0000425107280949004";"0";"0";"0";"0,000897844700666543"
"18925";"133";"0";"1";"7";"0,0000354216319846129";"7";"0,293762907889302";"0";"0,000244794250290666"
"18929";"11";"0";"1";"1";"0,0000471203209185141";"8";"0,232870431023189";"0";"0,000344200318656029"
