"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"12979";"12979";"1";"3";"0,0000434238702917287";"7";"0,282873279770901";"0";"0,000244794250290666";"0";"163"
"12982";"12982";"1";"2";"0,0000720070537498947";"8";"0,254838709677419";"8,98176618946356";"0,00188247915189071";"0";"83"
"12983";"12983";"1";"0";"0,0000488882357032622";"0";"0";"0";"0,000273739268439418";"0";"101"
"12984";"12984";"1";"8";"0,0000348200652829295";"7";"0,333239621403805";"0";"0,000244794250290666";"0";"124"
"12985";"12985";"1";"3";"0,0000434238702917287";"7";"0,264583333333333";"0";"0,000244794250290666";"0";"111"
"12990";"12990";"1";"6";"0,0000362568168593035";"7";"0,295785185800981";"0";"0,000244794250290666";"0";"16"
"12993";"12993";"3";"10";"0,000162751692478764";"8";"0,284559353237813";"16936,8401578083";"0,01092064674747";"1";"338"
"12995";"12995";"1";"0";"0,0000410085851477018";"0";"0";"0";"0,000244580801113421";"0";"103"
"12996";"12996";"2";"2";"0,0000768481030756307";"8";"0,260287011275443";"29,8776531372164";"0,00257174955488128";"0";"106"
"12998";"12998";"1";"0";"0,000036448431205491";"0";"0";"0";"0,000562634151179672";"0";"101"
"13000";"13000";"1";"0";"0,0000449543757783422";"0";"0";"0";"0,000419197112576219";"0";"101"
"13003";"13003";"1";"5";"0,0000374945005479113";"7";"0,313221175019819";"0";"0,000244794250290666";"0";"141"
"13007";"13007";"1";"0";"0,0000803592437005437";"0";"0";"0";"0,000556159409794044";"0";"101"
"13008";"13008";"1";"3";"0,000133907457820362";"7";"0,301347800288209";"11058";"0,0234585940166365";"0";"125"
"13012";"13012";"1";"0";"0,0000803592437005437";"0";"0";"0";"0,000556159409794044";"0";"101"
"13013";"13013";"2";"3";"0,000138206257171048";"7";"0,288648911984411";"86,7385634226044";"0,00503977569296966";"0";"121"
"13019";"13019";"0";"1";"0,0000311204305365192";"7";"0,266367041198502";"0";"0";"0";"16"
"13022";"13022";"2";"3";"0,000176699082344888";"7";"0,282411820781697";"259,954235362081";"0,00765129810083576";"0";"118"
