"questionId";"finished";"experts";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"31462";"0";"0";"473,0000";"133,5000";"0,009946532143046367";"7,0000";"0,349313613412507";"1432043,6780224852";"0,3865996930646593"
"31463";"0";"0";"565,5000";"212,5000";"0,011376764214905674";"6,0000";"0,4114215294172245";"1693528,660246724";"0,586091969804594"
"31468";"1";"1";"111,0000";"36,0000";"0,0022039784418015";"7,0000";"0,340354236476783";"121283,251139023";"0,157907072842632"
"31469";"0";"0";"12,0000";"7,0000";"0,000462469927404637";"8,0000";"0,28607065261125";"2828,43634106046";"0,0603501905328966"
"31476";"0";"0";\N;\N;\N;\N;\N;\N;\N
"31477";"1";"1";"113,0000";"34,0000";"0,00230858537474365";"7,0000";"0,336902956785444";"124525,485740431";"0,147131145628312"
"31479";"0";"0";"733,0000";"296,0000";"0,0144872662654788";"6,0000";"0,423315075017861";"2407648,16163808";"0,656484619884439"
"31481";"1";"1";"19,0000";"11,0000";"0,000821000784048905";"7,0000";"0,309588086736915";"4847,46704508481";"0,0785261150552557"
"31482";"1";"1";"571,0000";"107,0000";"0,0120256395228109";"6,0000";"0,389418337167269";"1054197,30160725";"0,598116546044618"
"31487";"1";"1";"193,0000";"39,0000";"0,00384834303786339";"7,0000";"0,339866156787763";"178436,584932671";"0,251359917759492"
"31494";"0";"0";\N;\N;\N;\N;\N;\N;\N
"31496";"0";"0";\N;\N;\N;\N;\N;\N;\N
"31497";"1";"1";"54,0000";"25,0000";"0,00120254345224929";"7,0000";"0,327046918123275";"47048,8352292241";"0,0856003658723408"
"31499";"0";"0";"467,5000";"134,5000";"0,009735376910938185";"6,5000";"0,368193025674927";"1430632,3082831348";"0,35701441970089"
"31505";"1";"2";"522,5000";"148,0000";"0,0108172864002448";"6,5000";"0,3764554053452735";"1491271,0854214665";"0,435378134219527"
"31507";"0";"0";"54,0000";"25,0000";"0,00120254345224929";"7,0000";"0,327046918123275";"47048,8352292241";"0,0856003658723408"
"31508";"0";"0";"733,0000";"296,0000";"0,0144872662654788";"6,0000";"0,423315075017861";"2407648,16163808";"0,656484619884439"
"31511";"0";"0";\N;\N;\N;\N;\N;\N;\N
"31512";"0";"0";"10,0000";"8,5000";"0,000354301853677933";"7,0000";"0,29013238030335053";"6635,952787781255";"0,02031974031357221"
"31516";"1";"1";"113,0000";"39,0000";"0,00256443201415605";"7,0000";"0,346019077282461";"176381,973610491";"0,173075203080371"
"31518";"0";"0";\N;\N;\N;\N;\N;\N;\N
"31519";"0";"0";"116,0000";"40,0000";"0,002720681429866544";"6,5000";"0,355912222423419";"153525,15223829725";"0,21173164286711343"
"31522";"1";"0";"3,0000";"1,0000";"0,0000606561148340897";"8,0000";"0,230231202642316";"5530,98318869836";"0,00161205753633943"
"31525";"0";"0";"30,0000";"23,0000";"0,000812426649348447";"7,0000";"0,344610314075223";"30596,2858723995";"0,0796585177085519"
"31526";"0";"0";"2,0000";"3,0000";"0,0000640495476176661";"8,0000";"0,274051803885291";"8,90939588363351";"0,00192143943296839"
