Source;Target;Type;id;label;timeset;weight;relation
8969;4108;Directed;520;;;1.0;2.0
1224;1320;Directed;521;;;2.0;1.0
5144;6760;Directed;522;;;1.0;2.0
1569;57;Directed;523;;;1.0;2.0
1427;1122;Directed;524;;;2.0;1.0
5144;6759;Directed;525;;;1.0;2.0
1629;9906;Directed;526;;;1.0;2.0
3553;5084;Directed;527;;;1.0;1.0
1308;3632;Directed;528;;;1.0;2.0
5796;5796;Directed;529;;;1.0;0.0
6452;5148;Directed;530;;;1.0;2.0
15290;14552;Directed;531;;;1.0;2.0
18714;4108;Directed;532;;;2.0;2.0
3632;3059;Directed;533;;;7.0;1.0
839;68;Directed;534;;;1.0;1.0
3632;3053;Directed;535;;;2.0;1.0
15630;3553;Directed;536;;;2.0;2.0
148;535;Directed;537;;;1.0;1.0
5479;19650;Directed;538;;;1.0;1.0
4371;948;Directed;539;;;1.0;2.0
1488;1231;Directed;540;;;1.0;2.0
14552;16609;Directed;541;;;1.0;2.0
10285;3971;Directed;542;;;1.0;2.0
10401;1231;Directed;543;;;1.0;1.0
21681;3340;Directed;544;;;1.0;2.0
5443;5443;Directed;545;;;3.0;0.0
1597;1320;Directed;546;;;2.0;1.0
3893;4175;Directed;547;;;1.0;0.0
146;3553;Directed;548;;;2.0;1.0
3632;3004;Directed;549;;;3.0;2.0
21222;12877;Directed;550;;;1.0;2.0
3893;4177;Directed;551;;;1.0;2.0
5144;4109;Directed;552;;;2.0;1.0
5144;4108;Directed;553;;;7.0;1.0
4890;1320;Directed;554;;;1.0;2.0
5700;8034;Directed;555;;;1.0;1.0
13270;13310;Directed;556;;;2.0;2.0
17469;8059;Directed;557;;;1.0;0.0
17491;19421;Directed;558;;;1.0;0.0
5643;57;Directed;559;;;1.0;2.0
22241;22237;Directed;560;;;1.0;0.0
1441;21693;Directed;561;;;1.0;2.0
9700;9943;Directed;562;;;1.0;1.0
10263;9776;Directed;563;;;1.0;0.0
835;107;Directed;564;;;1.0;1.0
185;185;Directed;565;;;7.0;1.0
15024;6228;Directed;566;;;2.0;2.0
185;184;Directed;567;;;1.0;1.0
3347;3624;Directed;568;;;6.0;1.0
5144;4117;Directed;569;;;3.0;2.0
22807;9829;Directed;570;;;1.0;2.0
86;16299;Directed;571;;;1.0;1.0
5144;4112;Directed;572;;;3.0;2.0
10246;10246;Directed;573;;;4.0;1.0
16220;16220;Directed;574;;;2.0;0.0
112;4199;Directed;575;;;1.0;1.0
15022;5940;Directed;576;;;1.0;2.0
6136;13338;Directed;577;;;2.0;1.0
5168;11631;Directed;578;;;1.0;2.0
14579;3340;Directed;579;;;1.0;2.0
5344;5144;Directed;580;;;2.0;2.0
19047;6307;Directed;581;;;3.0;2.0
1578;8517;Directed;582;;;2.0;1.0
5958;5144;Directed;583;;;1.0;2.0
9640;4747;Directed;584;;;1.0;2.0
10246;10258;Directed;585;;;1.0;2.0
19179;19179;Directed;586;;;1.0;0.0
10204;19493;Directed;587;;;1.0;2.0
1061;3632;Directed;588;;;1.0;1.0
10246;10257;Directed;589;;;1.0;1.0
16866;13338;Directed;590;;;1.0;1.0
5144;6786;Directed;591;;;1.0;1.0
4957;4957;Directed;592;;;2.0;0.0
680;1578;Directed;593;;;1.0;1.0
15866;6497;Directed;594;;;1.0;0.0
20571;20571;Directed;595;;;1.0;0.0
20406;4108;Directed;596;;;2.0;2.0
21919;21926;Directed;597;;;1.0;0.0
8115;1320;Directed;598;;;1.0;2.0
21354;16651;Directed;599;;;1.0;2.0
4579;5487;Directed;600;;;1.0;2.0
496;166;Directed;601;;;1.0;2.0
12935;1590;Directed;602;;;1.0;2.0
3262;3059;Directed;603;;;1.0;1.0
16220;16242;Directed;604;;;1.0;0.0
112;4177;Directed;605;;;1.0;1.0
19160;22576;Directed;606;;;1.0;0.0
6458;5144;Directed;607;;;3.0;2.0
1195;5144;Directed;608;;;9.0;1.0
19832;4108;Directed;609;;;5.0;2.0
611;740;Directed;610;;;1.0;1.0
1039;997;Directed;611;;;2.0;1.0
19873;766;Directed;612;;;1.0;2.0
8072;8034;Directed;613;;;1.0;2.0
20025;19650;Directed;614;;;1.0;2.0
13387;11841;Directed;615;;;1.0;2.0
9020;1916;Directed;616;;;1.0;1.0
1163;2938;Directed;617;;;1.0;2.0
5453;5453;Directed;618;;;1.0;0.0
15899;9943;Directed;619;;;1.0;2.0
5762;115;Directed;620;;;1.0;1.0
14711;6307;Directed;621;;;1.0;2.0
11602;5144;Directed;622;;;1.0;2.0
1005;445;Directed;623;;;1.0;1.0
3887;10143;Directed;624;;;1.0;1.0
22436;22033;Directed;625;;;1.0;2.0
5762;6638;Directed;626;;;1.0;2.0
805;19277;Directed;627;;;1.0;2.0
6914;6914;Directed;628;;;1.0;0.0
21218;21711;Directed;629;;;2.0;2.0
1916;1231;Directed;630;;;2.0;1.0
8642;9099;Directed;631;;;1.0;2.0
19493;19493;Directed;632;;;26.0;1.0
22678;19521;Directed;633;;;1.0;2.0
8729;3971;Directed;634;;;1.0;2.0
8086;9943;Directed;635;;;1.0;2.0
5790;3632;Directed;636;;;1.0;2.0
